[0.000000] (-) TimerEvent: {}
[0.000502] (-) JobUnselected: {'identifier': 'dynamixel_sdk'}
[0.000582] (-) JobUnselected: {'identifier': 'dynamixel_sdk_custom_interfaces'}
[0.000608] (-) JobUnselected: {'identifier': 'dynamixel_sdk_examples'}
[0.000746] (-) JobUnselected: {'identifier': 'slam_toolbox'}
[0.000765] (-) JobUnselected: {'identifier': 'turtlebot3'}
[0.000832] (-) JobUnselected: {'identifier': 'turtlebot3_bringup'}
[0.000867] (-) JobUnselected: {'identifier': 'turtlebot3_cartographer'}
[0.000886] (-) JobUnselected: {'identifier': 'turtlebot3_description'}
[0.000963] (-) JobUnselected: {'identifier': 'turtlebot3_example'}
[0.000979] (-) JobUnselected: {'identifier': 'turtlebot3_fake_node'}
[0.001000] (-) JobUnselected: {'identifier': 'turtlebot3_manipulation_gazebo'}
[0.001021] (-) JobUnselected: {'identifier': 'turtlebot3_msgs'}
[0.001036] (-) JobUnselected: {'identifier': 'turtlebot3_navigation2'}
[0.001051] (-) JobUnselected: {'identifier': 'turtlebot3_node'}
[0.001067] (-) JobUnselected: {'identifier': 'turtlebot3_simulations'}
[0.001082] (-) JobUnselected: {'identifier': 'turtlebot3_teleop'}
[0.001096] (-) JobUnselected: {'identifier': 'turtlebot3_waypoint_nav'}
[0.001114] (turtlebot3_gazebo) JobQueued: {'identifier': 'turtlebot3_gazebo', 'dependencies': OrderedDict()}
[0.001133] (turtlebot3_gazebo) JobStarted: {'identifier': 'turtlebot3_gazebo'}
[0.005484] (turtlebot3_gazebo) JobProgress: {'identifier': 'turtlebot3_gazebo', 'progress': 'cmake'}
[0.005866] (turtlebot3_gazebo) JobProgress: {'identifier': 'turtlebot3_gazebo', 'progress': 'build'}
[0.006330] (turtlebot3_gazebo) Command: {'cmd': ['/usr/bin/cmake', '--build', '/home/shiv/turtlebot3_ws/build/turtlebot3_gazebo', '--', '-j16', '-l16'], 'cwd': '/home/shiv/turtlebot3_ws/build/turtlebot3_gazebo', 'env': OrderedDict([('GJS_DEBUG_TOPICS', 'JS ERROR;JS LOG'), ('LESSOPEN', '||/usr/bin/lesspipe.sh %s'), ('MAIL', '/var/spool/mail/shiv'), ('USER', 'shiv'), ('HOSTNAME', 'codr'), ('XDG_SESSION_TYPE', 'wayland'), ('PTYXIS_VERSION', '50.1'), ('XDG_CACHE_HOME', '/home/shiv/.cache'), ('SHLVL', '3'), ('LIBGL_ALWAYS_SOFTWARE', '1'), ('LD_LIBRARY_PATH', '/home/shiv/turtlebot3_ws/install/turtlebot3_msgs/lib:/home/shiv/turtlebot3_ws/install/slam_toolbox/lib:/home/shiv/turtlebot3_ws/install/dynamixel_sdk_custom_interfaces/lib:/home/shiv/turtlebot3_ws/install/dynamixel_sdk/lib:/usr/lib/x86_64-linux-gnu/gazebo-11/plugins:/opt/ros/humble/opt/rviz_ogre_vendor/lib:/opt/ros/humble/lib/x86_64-linux-gnu:/opt/ros/humble/lib'), ('HOME', '/home/shiv'), ('OLDPWD', '/home/shiv'), ('DESKTOP_SESSION', 'gnome'), ('GIO_LAUNCHED_DESKTOP_FILE', '/home/shiv/.local/share/applications/ros-humble.desktop'), ('ROS_PYTHON_VERSION', '3'), ('PS1', '📦[\\u@ros-humble \\W]$'), ('MANAGERPID', '4993'), ('DISTROBOX_ENTER_PATH', '/usr/bin/distrobox-enter'), ('SYSTEMD_EXEC_PID', '5415'), ('XDG_STATE_HOME', '/home/shiv/.local/state'), ('DBUS_SESSION_BUS_ADDRESS', 'unix:path=/run/user/1000/bus'), ('COLORTERM', 'truecolor'), ('container', 'podman'), ('GIO_LAUNCHED_DESKTOP_FILE_PID', '1266671'), ('DEBUGINFOD_URLS', 'ima:enforcing https://debuginfod.fedoraproject.org/ ima:ignore'), ('WAYLAND_DISPLAY', 'wayland-0'), ('COLCON_PREFIX_PATH', '/home/shiv/turtlebot3_ws/install'), ('ROS_DISTRO', 'humble'), ('LOGNAME', 'shiv'), ('MANAGERPIDFDID', '8564'), ('JOURNAL_STREAM', '10:33294'), ('_', '/usr/bin/colcon'), ('ROS_VERSION', '2'), ('MEMORY_PRESSURE_WATCH', '/sys/fs/cgroup/user.slice/user-1000.slice/user@1000.service/session.slice/org.gnome.Shell@user.service/memory.pressure'), ('XDG_SESSION_CLASS', 'user'), ('TERMINFO_DIRS', '/usr/share/terminfo:/run/host/usr/share/terminfo'), ('USERNAME', 'shiv'), ('TERM', 'xterm-256color'), ('ROS_LOCALHOST_ONLY', '0'), ('HISTCONTROL', 'ignoredups'), ('FLATPAK_TTY_PROGRESS', '1'), ('PATH', '/opt/ros/humble/bin:/home/shiv/.local/bin:/home/shiv/bin:/usr/local/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/usr/local/bin:/usr/bin:/sbin:/bin:/usr/local/sbin:/usr/sbin:/sbin:/bin'), ('GDM_LANG', 'en_US.UTF-8'), ('INVOCATION_ID', '974fc866684f49c49c6cca5cb8f0c8ae'), ('XDG_MENU_PREFIX', 'gnome-'), ('PTYXIS_PROFILE', '58030bb9b7d8377bff08527269f9ab55'), ('GNOME_SETUP_DISPLAY', 'unix:/tmp/.X11-unix/X1'), ('XDG_RUNTIME_DIR', '/run/user/1000'), ('DISPLAY', ':0'), ('HISTSIZE', '1000'), ('LANG', 'en_US.UTF-8'), ('XDG_CURRENT_DESKTOP', 'GNOME'), ('RMW_IMPLEMENTATION', 'rmw_cyclonedds_cpp'), ('XDG_DATA_HOME', '/home/shiv/.local/share'), ('XDG_CONFIG_HOME', '/home/shiv/.config'), ('XMODIFIERS', '@im=ibus'), ('XDG_SESSION_DESKTOP', 'gnome'), ('XAUTHORITY', '/run/user/1000/.mutter-Xwaylandauth.LFEMR3'), ('SSH_AUTH_SOCK', '/run/user/1000/gcr/ssh'), ('AMENT_PREFIX_PATH', '/home/shiv/turtlebot3_ws/install/turtlebot3_waypoint_nav:/home/shiv/turtlebot3_ws/install/turtlebot3:/home/shiv/turtlebot3_ws/install/turtlebot3_teleop:/home/shiv/turtlebot3_ws/install/turtlebot3_simulations:/home/shiv/turtlebot3_ws/install/turtlebot3_bringup:/home/shiv/turtlebot3_ws/install/turtlebot3_node:/home/shiv/turtlebot3_ws/install/turtlebot3_navigation2:/home/shiv/turtlebot3_ws/install/turtlebot3_fake_node:/home/shiv/turtlebot3_ws/install/turtlebot3_example:/home/shiv/turtlebot3_ws/install/turtlebot3_msgs:/home/shiv/turtlebot3_ws/install/turtlebot3_manipulation_gazebo:/home/shiv/turtlebot3_ws/install/turtlebot3_gazebo:/home/shiv/turtlebot3_ws/install/turtlebot3_description:/home/shiv/turtlebot3_ws/install/turtlebot3_cartographer:/home/shiv/turtlebot3_ws/install/slam_toolbox:/home/shiv/turtlebot3_ws/install/dynamixel_sdk_examples:/home/shiv/turtlebot3_ws/install/dynamixel_sdk_custom_interfaces:/home/shiv/turtlebot3_ws/install/dynamixel_sdk:/opt/ros/humble'), ('SHELL', '/usr/bin/bash'), ('GDMSESSION', 'gnome'), ('GJS_DEBUG_OUTPUT', 'stderr'), ('QT_IM_MODULE', 'ibus'), ('DEBUGINFOD_IMA_CERT_PATH', '/etc/keys/ima:'), ('PWD', '/home/shiv/turtlebot3_ws/build/turtlebot3_gazebo'), ('CONTAINER_ID', 'ros-humble'), ('TURTLEBOT3_MODEL', 'waffle'), ('XDG_CONFIG_DIRS', '/etc/xdg'), ('XDG_DATA_DIRS', '/home/shiv/.local/share/flatpak/exports/share:/var/lib/flatpak/exports/share:/usr/local/share/:/usr/share/:/usr/local/share:/usr/share'), ('XDG_SESSION_EXTRA_DEVICE_ACCESS', 'render:accel'), ('PYTHONPATH', '/home/shiv/turtlebot3_ws/build/turtlebot3_waypoint_nav:/home/shiv/turtlebot3_ws/install/turtlebot3_waypoint_nav/lib/python3.10/site-packages:/home/shiv/turtlebot3_ws/build/turtlebot3_teleop:/home/shiv/turtlebot3_ws/install/turtlebot3_teleop/lib/python3.10/site-packages:/home/shiv/turtlebot3_ws/build/turtlebot3_example:/home/shiv/turtlebot3_ws/install/turtlebot3_example/lib/python3.10/site-packages:/home/shiv/turtlebot3_ws/install/turtlebot3_msgs/local/lib/python3.10/dist-packages:/home/shiv/turtlebot3_ws/install/slam_toolbox/local/lib/python3.10/dist-packages:/home/shiv/turtlebot3_ws/install/dynamixel_sdk_custom_interfaces/local/lib/python3.10/dist-packages:/home/shiv/turtlebot3_ws/install/dynamixel_sdk/local/lib/python3.10/dist-packages:/opt/ros/humble/lib/python3.10/site-packages:/opt/ros/humble/local/lib/python3.10/dist-packages'), ('COLCON', '1'), ('QT_IM_MODULES', 'wayland;ibus'), ('MEMORY_PRESSURE_WRITE', 'c29tZSAyMDAwMDAgMjAwMDAwMAA='), ('VTE_VERSION', '8400'), ('EDITOR', '/usr/bin/nano'), ('CMAKE_PREFIX_PATH', '/home/shiv/turtlebot3_ws/install/turtlebot3:/home/shiv/turtlebot3_ws/install/turtlebot3_simulations:/home/shiv/turtlebot3_ws/install/turtlebot3_bringup:/home/shiv/turtlebot3_ws/install/turtlebot3_node:/home/shiv/turtlebot3_ws/install/turtlebot3_navigation2:/home/shiv/turtlebot3_ws/install/turtlebot3_fake_node:/home/shiv/turtlebot3_ws/install/turtlebot3_msgs:/home/shiv/turtlebot3_ws/install/turtlebot3_manipulation_gazebo:/home/shiv/turtlebot3_ws/install/turtlebot3_gazebo:/home/shiv/turtlebot3_ws/install/turtlebot3_description:/home/shiv/turtlebot3_ws/install/turtlebot3_cartographer:/home/shiv/turtlebot3_ws/install/slam_toolbox:/home/shiv/turtlebot3_ws/install/dynamixel_sdk_examples:/home/shiv/turtlebot3_ws/install/dynamixel_sdk_custom_interfaces:/home/shiv/turtlebot3_ws/install/dynamixel_sdk:/home/shiv/turtlebot3_ws/install/turtlebot3_waypoint_nav:/home/shiv/turtlebot3_ws/install/turtlebot3_teleop:/home/shiv/turtlebot3_ws/install/turtlebot3_example:/opt/ros/humble')]), 'shell': False}
[0.046956] (turtlebot3_gazebo) StdoutLine: {'line': b'[ 16%] Built target turtlebot3_drive\n'}
[0.053874] (turtlebot3_gazebo) StdoutLine: {'line': b'[ 83%] Built target obstacle1\n'}
[0.054093] (turtlebot3_gazebo) StdoutLine: {'line': b'[ 83%] Built target obstacle2\n'}
[0.054154] (turtlebot3_gazebo) StdoutLine: {'line': b'[ 83%] Built target obstacles\n'}
[0.054198] (turtlebot3_gazebo) StdoutLine: {'line': b'[ 83%] Built target traffic_bar_plugin\n'}
[0.054240] (turtlebot3_gazebo) StdoutLine: {'line': b'[100%] Built target traffic_light_plugin\n'}
[0.059859] (turtlebot3_gazebo) CommandEnded: {'returncode': 0}
[0.060406] (turtlebot3_gazebo) JobProgress: {'identifier': 'turtlebot3_gazebo', 'progress': 'install'}
[0.066123] (turtlebot3_gazebo) Command: {'cmd': ['/usr/bin/cmake', '--install', '/home/shiv/turtlebot3_ws/build/turtlebot3_gazebo'], 'cwd': '/home/shiv/turtlebot3_ws/build/turtlebot3_gazebo', 'env': OrderedDict([('GJS_DEBUG_TOPICS', 'JS ERROR;JS LOG'), ('LESSOPEN', '||/usr/bin/lesspipe.sh %s'), ('MAIL', '/var/spool/mail/shiv'), ('USER', 'shiv'), ('HOSTNAME', 'codr'), ('XDG_SESSION_TYPE', 'wayland'), ('PTYXIS_VERSION', '50.1'), ('XDG_CACHE_HOME', '/home/shiv/.cache'), ('SHLVL', '3'), ('LIBGL_ALWAYS_SOFTWARE', '1'), ('LD_LIBRARY_PATH', '/home/shiv/turtlebot3_ws/install/turtlebot3_msgs/lib:/home/shiv/turtlebot3_ws/install/slam_toolbox/lib:/home/shiv/turtlebot3_ws/install/dynamixel_sdk_custom_interfaces/lib:/home/shiv/turtlebot3_ws/install/dynamixel_sdk/lib:/usr/lib/x86_64-linux-gnu/gazebo-11/plugins:/opt/ros/humble/opt/rviz_ogre_vendor/lib:/opt/ros/humble/lib/x86_64-linux-gnu:/opt/ros/humble/lib'), ('HOME', '/home/shiv'), ('OLDPWD', '/home/shiv'), ('DESKTOP_SESSION', 'gnome'), ('GIO_LAUNCHED_DESKTOP_FILE', '/home/shiv/.local/share/applications/ros-humble.desktop'), ('ROS_PYTHON_VERSION', '3'), ('PS1', '📦[\\u@ros-humble \\W]$'), ('MANAGERPID', '4993'), ('DISTROBOX_ENTER_PATH', '/usr/bin/distrobox-enter'), ('SYSTEMD_EXEC_PID', '5415'), ('XDG_STATE_HOME', '/home/shiv/.local/state'), ('DBUS_SESSION_BUS_ADDRESS', 'unix:path=/run/user/1000/bus'), ('COLORTERM', 'truecolor'), ('container', 'podman'), ('GIO_LAUNCHED_DESKTOP_FILE_PID', '1266671'), ('DEBUGINFOD_URLS', 'ima:enforcing https://debuginfod.fedoraproject.org/ ima:ignore'), ('WAYLAND_DISPLAY', 'wayland-0'), ('COLCON_PREFIX_PATH', '/home/shiv/turtlebot3_ws/install'), ('ROS_DISTRO', 'humble'), ('LOGNAME', 'shiv'), ('MANAGERPIDFDID', '8564'), ('JOURNAL_STREAM', '10:33294'), ('_', '/usr/bin/colcon'), ('ROS_VERSION', '2'), ('MEMORY_PRESSURE_WATCH', '/sys/fs/cgroup/user.slice/user-1000.slice/user@1000.service/session.slice/org.gnome.Shell@user.service/memory.pressure'), ('XDG_SESSION_CLASS', 'user'), ('TERMINFO_DIRS', '/usr/share/terminfo:/run/host/usr/share/terminfo'), ('USERNAME', 'shiv'), ('TERM', 'xterm-256color'), ('ROS_LOCALHOST_ONLY', '0'), ('HISTCONTROL', 'ignoredups'), ('FLATPAK_TTY_PROGRESS', '1'), ('PATH', '/opt/ros/humble/bin:/home/shiv/.local/bin:/home/shiv/bin:/usr/local/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/usr/local/bin:/usr/bin:/sbin:/bin:/usr/local/sbin:/usr/sbin:/sbin:/bin'), ('GDM_LANG', 'en_US.UTF-8'), ('INVOCATION_ID', '974fc866684f49c49c6cca5cb8f0c8ae'), ('XDG_MENU_PREFIX', 'gnome-'), ('PTYXIS_PROFILE', '58030bb9b7d8377bff08527269f9ab55'), ('GNOME_SETUP_DISPLAY', 'unix:/tmp/.X11-unix/X1'), ('XDG_RUNTIME_DIR', '/run/user/1000'), ('DISPLAY', ':0'), ('HISTSIZE', '1000'), ('LANG', 'en_US.UTF-8'), ('XDG_CURRENT_DESKTOP', 'GNOME'), ('RMW_IMPLEMENTATION', 'rmw_cyclonedds_cpp'), ('XDG_DATA_HOME', '/home/shiv/.local/share'), ('XDG_CONFIG_HOME', '/home/shiv/.config'), ('XMODIFIERS', '@im=ibus'), ('XDG_SESSION_DESKTOP', 'gnome'), ('XAUTHORITY', '/run/user/1000/.mutter-Xwaylandauth.LFEMR3'), ('SSH_AUTH_SOCK', '/run/user/1000/gcr/ssh'), ('AMENT_PREFIX_PATH', '/home/shiv/turtlebot3_ws/install/turtlebot3_waypoint_nav:/home/shiv/turtlebot3_ws/install/turtlebot3:/home/shiv/turtlebot3_ws/install/turtlebot3_teleop:/home/shiv/turtlebot3_ws/install/turtlebot3_simulations:/home/shiv/turtlebot3_ws/install/turtlebot3_bringup:/home/shiv/turtlebot3_ws/install/turtlebot3_node:/home/shiv/turtlebot3_ws/install/turtlebot3_navigation2:/home/shiv/turtlebot3_ws/install/turtlebot3_fake_node:/home/shiv/turtlebot3_ws/install/turtlebot3_example:/home/shiv/turtlebot3_ws/install/turtlebot3_msgs:/home/shiv/turtlebot3_ws/install/turtlebot3_manipulation_gazebo:/home/shiv/turtlebot3_ws/install/turtlebot3_gazebo:/home/shiv/turtlebot3_ws/install/turtlebot3_description:/home/shiv/turtlebot3_ws/install/turtlebot3_cartographer:/home/shiv/turtlebot3_ws/install/slam_toolbox:/home/shiv/turtlebot3_ws/install/dynamixel_sdk_examples:/home/shiv/turtlebot3_ws/install/dynamixel_sdk_custom_interfaces:/home/shiv/turtlebot3_ws/install/dynamixel_sdk:/opt/ros/humble'), ('SHELL', '/usr/bin/bash'), ('GDMSESSION', 'gnome'), ('GJS_DEBUG_OUTPUT', 'stderr'), ('QT_IM_MODULE', 'ibus'), ('DEBUGINFOD_IMA_CERT_PATH', '/etc/keys/ima:'), ('PWD', '/home/shiv/turtlebot3_ws/build/turtlebot3_gazebo'), ('CONTAINER_ID', 'ros-humble'), ('TURTLEBOT3_MODEL', 'waffle'), ('XDG_CONFIG_DIRS', '/etc/xdg'), ('XDG_DATA_DIRS', '/home/shiv/.local/share/flatpak/exports/share:/var/lib/flatpak/exports/share:/usr/local/share/:/usr/share/:/usr/local/share:/usr/share'), ('XDG_SESSION_EXTRA_DEVICE_ACCESS', 'render:accel'), ('PYTHONPATH', '/home/shiv/turtlebot3_ws/build/turtlebot3_waypoint_nav:/home/shiv/turtlebot3_ws/install/turtlebot3_waypoint_nav/lib/python3.10/site-packages:/home/shiv/turtlebot3_ws/build/turtlebot3_teleop:/home/shiv/turtlebot3_ws/install/turtlebot3_teleop/lib/python3.10/site-packages:/home/shiv/turtlebot3_ws/build/turtlebot3_example:/home/shiv/turtlebot3_ws/install/turtlebot3_example/lib/python3.10/site-packages:/home/shiv/turtlebot3_ws/install/turtlebot3_msgs/local/lib/python3.10/dist-packages:/home/shiv/turtlebot3_ws/install/slam_toolbox/local/lib/python3.10/dist-packages:/home/shiv/turtlebot3_ws/install/dynamixel_sdk_custom_interfaces/local/lib/python3.10/dist-packages:/home/shiv/turtlebot3_ws/install/dynamixel_sdk/local/lib/python3.10/dist-packages:/opt/ros/humble/lib/python3.10/site-packages:/opt/ros/humble/local/lib/python3.10/dist-packages'), ('COLCON', '1'), ('QT_IM_MODULES', 'wayland;ibus'), ('MEMORY_PRESSURE_WRITE', 'c29tZSAyMDAwMDAgMjAwMDAwMAA='), ('VTE_VERSION', '8400'), ('EDITOR', '/usr/bin/nano'), ('CMAKE_PREFIX_PATH', '/home/shiv/turtlebot3_ws/install/turtlebot3:/home/shiv/turtlebot3_ws/install/turtlebot3_simulations:/home/shiv/turtlebot3_ws/install/turtlebot3_bringup:/home/shiv/turtlebot3_ws/install/turtlebot3_node:/home/shiv/turtlebot3_ws/install/turtlebot3_navigation2:/home/shiv/turtlebot3_ws/install/turtlebot3_fake_node:/home/shiv/turtlebot3_ws/install/turtlebot3_msgs:/home/shiv/turtlebot3_ws/install/turtlebot3_manipulation_gazebo:/home/shiv/turtlebot3_ws/install/turtlebot3_gazebo:/home/shiv/turtlebot3_ws/install/turtlebot3_description:/home/shiv/turtlebot3_ws/install/turtlebot3_cartographer:/home/shiv/turtlebot3_ws/install/slam_toolbox:/home/shiv/turtlebot3_ws/install/dynamixel_sdk_examples:/home/shiv/turtlebot3_ws/install/dynamixel_sdk_custom_interfaces:/home/shiv/turtlebot3_ws/install/dynamixel_sdk:/home/shiv/turtlebot3_ws/install/turtlebot3_waypoint_nav:/home/shiv/turtlebot3_ws/install/turtlebot3_teleop:/home/shiv/turtlebot3_ws/install/turtlebot3_example:/opt/ros/humble')]), 'shell': False}
[0.071675] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Install configuration: ""\n'}
[0.072105] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Execute custom install script\n'}
[0.072177] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/lib/turtlebot3_gazebo/turtlebot3_drive\n'}
[0.072428] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//launch/custom_arena.launch.py\n'}
[0.072483] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//launch/empty_world.launch.py\n'}
[0.072548] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//launch/multi_robot.launch.py\n'}
[0.072614] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//launch/multi_spawn_turtlebot3.launch.py\n'}
[0.072680] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//launch/robot_state_publisher.launch.py\n'}
[0.072737] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//launch/spawn_turtlebot3.launch.py\n'}
[0.072790] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//launch/turtlebot3_autorace_2020.launch.py\n'}
[0.072860] (turtlebot3_gazebo) StdoutLine: {'line': b'-- Up-to-date symlink: /home/shiv/turtlebot3_ws/install/turtlebot3_gazebo/share/turtlebot3_gazebo//launch/turtlebot3_dqn_stage1.launch.py\n'}
